date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
04:53:08	70/70	---M-Z	200	added ('OK')	text/plain	date:Tue,%2010%20Nov%202020%2021:53:07%20GMT	https://baloo.az-theme.net/robots.txt		(from )
04:53:08	100376/100376	---MCZ	200	added ('OK')	text/html	date:Tue,%2010%20Nov%202020%2021:53:08%20GMT	https://baloo.az-theme.net/	/home/happyperson/websites/ballo_blog/baloo.az-theme.net/index.html	(from )
04:53:08	29295/29295	---M-Z	200	added ('OK')	text/css	date:Fri,%2024%20May%202019%2008:17:19%20GMT	https://baloo.az-theme.net/wp-includes/css/dist/block-library/style.min.css?ver=5.2.9	/home/happyperson/websites/ballo_blog/baloo.az-theme.net/wp-includes/css/dist/block-library/style.min0606.css	(from https://baloo.az-theme.net/)
04:53:09	1685/1685	---M-Z	200	added ('OK')	text/css	date:Wed,%2002%20Oct%202019%2002:25:22%20GMT	https://baloo.az-theme.net/wp-content/plugins/contact-form-7/includes/css/styles.css?ver=5.1.4	/home/happyperson/websites/ballo_blog/baloo.az-theme.net/wp-content/plugins/contact-form-7/includes/css/styles58e0.css	(from https://baloo.az-theme.net/)
04:53:10	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Tue,%2010%20Nov%202020%2021:53:10%20GMT	http://s.w.org/	/home/happyperson/websites/ballo_blog/s.w.org/index.html	(from https://baloo.az-theme.net/)
04:53:10	1603/1603	---MCZ	404	error ('Not%20Found')	text/html	date:Tue,%2010%20Nov%202020%2021:53:10%20GMT	http://fonts.googleapis.com/	/home/happyperson/websites/ballo_blog/fonts.googleapis.com/index.html	(from https://baloo.az-theme.net/)
04:53:11	1031/1031	---MC-	200	added ('OK')	text/css	date:Tue,%2010%20Nov%202020%2021:53:11%20GMT	http://fonts.googleapis.com/css?family=Roboto+Condensed%3A400%2C700%7COpen+Sans%3A400%2C400i&subset=latin%2Clatin-ext	/home/happyperson/websites/ballo_blog/fonts.googleapis.com/cssbb64.css	(from https://baloo.az-theme.net/)
04:53:12	66589/66589	---MC-	200	added ('OK')	application/rss+xml	etag:%22849a1593a4a97c2a84b690f823771f68%22	https://baloo.az-theme.net/feed/	/home/happyperson/websites/ballo_blog/baloo.az-theme.net/feed/index.html	(from https://baloo.az-theme.net/)
04:53:12	743/743	---M--	200	added ('OK')	application/rss+xml	etag:%2274d4fdc14308bed24d8542557b2afdc1%22	https://baloo.az-theme.net/comments/feed/	/home/happyperson/websites/ballo_blog/baloo.az-theme.net/comments/feed/index.html	(from https://baloo.az-theme.net/)
04:53:13	188998/188998	---M-Z	200	added ('OK')	text/css	date:Sun,%2009%20Jun%202019%2007:40:32%20GMT	https://baloo.az-theme.net/wp-content/themes/baloo/libs/bootstrap/bootstrap.css?ver=5.2.9	/home/happyperson/websites/ballo_blog/baloo.az-theme.net/wp-content/themes/baloo/libs/bootstrap/bootstrap0606.css	(from https://baloo.az-theme.net/)
04:53:13	73440/73440	---M-Z	200	added ('OK')	text/css	date:Sun,%2009%20Jun%202019%2007:40:32%20GMT	https://baloo.az-theme.net/wp-content/themes/baloo/libs/font-awesome/css/all.css?ver=5.2.9	/home/happyperson/websites/ballo_blog/baloo.az-theme.net/wp-content/themes/baloo/libs/font-awesome/css/all0606.css	(from https://baloo.az-theme.net/)
04:53:14	12188/12188	---M-Z	200	added ('OK')	text/css	date:Sun,%2009%20Jun%202019%2007:40:32%20GMT	https://baloo.az-theme.net/wp-content/themes/baloo/libs/chosen/chosen.css?ver=5.2.9	/home/happyperson/websites/ballo_blog/baloo.az-theme.net/wp-content/themes/baloo/libs/chosen/chosen0606.css	(from https://baloo.az-theme.net/)
04:53:15	4744/4744	---M-Z	200	added ('OK')	text/css	date:Sun,%2009%20Jun%202019%2007:40:32%20GMT	https://baloo.az-theme.net/wp-content/themes/baloo/libs/owl/owl.carousel.css?ver=5.2.9	/home/happyperson/websites/ballo_blog/baloo.az-theme.net/wp-content/themes/baloo/libs/owl/owl.carousel0606.css	(from https://baloo.az-theme.net/)
04:53:16	35934/35934	---M-Z	200	added ('OK')	text/css	date:Tue,%2029%20Oct%202019%2017:45:34%20GMT	https://baloo.az-theme.net/wp-content/themes/baloo/style.css?ver=5.2.9	/home/happyperson/websites/ballo_blog/baloo.az-theme.net/wp-content/themes/baloo/style0606.css	(from https://baloo.az-theme.net/)
04:53:17	706/706	---M--	301	error ('Moved%20Permanently')	text/html	date:Tue,%2010%20Nov%202020%2021:53:17%20GMT	http://baloo.az-theme.net/wp-content/uploads/2019/05/bg-body.jpg	/home/happyperson/websites/ballo_blog/baloo.az-theme.net/wp-content/uploads/2019/05/bg-body.8.delayed	(from https://baloo.az-theme.net/)
04:53:19	96873/96873	---M-Z	200	added ('OK')	application/javascript	date:Fri,%2024%20May%202019%2008:17:19%20GMT	https://baloo.az-theme.net/wp-includes/js/jquery/jquery.js?ver=1.12.4-wp	/home/happyperson/websites/ballo_blog/baloo.az-theme.net/wp-includes/js/jquery/jquery4a5f.js	(from https://baloo.az-theme.net/)
04:53:20	1072887/1072887	---M--	200	added ('OK')	image/jpeg	date:Sat,%2025%20May%202019%2004:15:49%20GMT	https://baloo.az-theme.net/wp-content/uploads/2019/05/bg-body.jpg	/home/happyperson/websites/ballo_blog/baloo.az-theme.net/wp-content/uploads/2019/05/bg-body.jpg	(from https://baloo.az-theme.net/)
04:53:20	10056/10056	---M-Z	200	added ('OK')	application/javascript	date:Fri,%2024%20May%202019%2008:17:19%20GMT	https://baloo.az-theme.net/wp-includes/js/jquery/jquery-migrate.min.js?ver=1.4.1	/home/happyperson/websites/ballo_blog/baloo.az-theme.net/wp-includes/js/jquery/jquery-migrate.min330a.js	(from https://baloo.az-theme.net/)
04:53:21	822/822	---M-Z	200	added ('OK')	text/xml	date:Tue,%2010%20Nov%202020%2021:53:21%20GMT	https://baloo.az-theme.net/xmlrpc.php?rsd	/home/happyperson/websites/ballo_blog/baloo.az-theme.net/xmlrpc0db0.php	(from https://baloo.az-theme.net/)
04:53:22	1045/1045	---M-Z	200	added ('OK')	application/xml	date:Fri,%2024%20May%202019%2008:17:19%20GMT	https://baloo.az-theme.net/wp-includes/wlwmanifest.xml	/home/happyperson/websites/ballo_blog/baloo.az-theme.net/wp-includes/wlwmanifest.xml	(from https://baloo.az-theme.net/)
04:53:23	706/706	---M--	301	error ('Moved%20Permanently')	text/html	date:Tue,%2010%20Nov%202020%2021:53:23%20GMT	http://baloo.az-theme.net/wp-content/uploads/2019/05/logo.png	/home/happyperson/websites/ballo_blog/baloo.az-theme.net/wp-content/uploads/2019/05/logo.png	(from https://baloo.az-theme.net/)
04:53:23	77494/77494	---MCZ	200	added ('OK')	application/json	date:Tue,%2010%20Nov%202020%2021:53:22%20GMT	https://baloo.az-theme.net/wp-json/	/home/happyperson/websites/ballo_blog/baloo.az-theme.net/wp-json/index.html	(from https://baloo.az-theme.net/)
04:53:24	25206/25206	---M--	200	added ('OK')	image/png	date:Fri,%2024%20May%202019%2008:17:19%20GMT	https://baloo.az-theme.net/wp-content/uploads/2019/05/logo.png	/home/happyperson/websites/ballo_blog/baloo.az-theme.net/wp-content/uploads/2019/05/logo.png	(from https://baloo.az-theme.net/)
04:53:26	706/706	---M--	301	error ('Moved%20Permanently')	text/html	date:Tue,%2010%20Nov%202020%2021:53:25%20GMT	http://baloo.az-theme.net/wp-content/uploads/2019/05/about.jpg	/home/happyperson/websites/ballo_blog/baloo.az-theme.net/wp-content/uploads/2019/05/about.jpg	(from https://baloo.az-theme.net/)
04:53:28	706/706	---M--	301	error ('Moved%20Permanently')	text/html	date:Tue,%2010%20Nov%202020%2021:53:27%20GMT	http://baloo.az-theme.net/wp-content/uploads/2019/05/baloo-signature.png	/home/happyperson/websites/ballo_blog/baloo.az-theme.net/wp-content/uploads/2019/05/baloo-signature.png	(from https://baloo.az-theme.net/)
04:53:28	133556/133556	---M--	200	added ('OK')	image/jpeg	date:Fri,%2024%20May%202019%2008:17:19%20GMT	https://baloo.az-theme.net/wp-content/uploads/2019/05/about.jpg	/home/happyperson/websites/ballo_blog/baloo.az-theme.net/wp-content/uploads/2019/05/about.jpg	(from https://baloo.az-theme.net/)
04:53:28	3735/3735	---M--	200	added ('OK')	image/png	date:Fri,%2024%20May%202019%2008:17:19%20GMT	https://baloo.az-theme.net/wp-content/uploads/2019/05/baloo-signature.png	/home/happyperson/websites/ballo_blog/baloo.az-theme.net/wp-content/uploads/2019/05/baloo-signature.png	(from https://baloo.az-theme.net/)
04:53:29	33033/33033	---M--	200	added ('OK')	image/jpeg	date:Fri,%2024%20May%202019%2008:17:19%20GMT	https://baloo.az-theme.net/wp-content/uploads/2019/05/iryna-ogarkova-447661-unsplash-585x390.jpg	/home/happyperson/websites/ballo_blog/baloo.az-theme.net/wp-content/uploads/2019/05/iryna-ogarkova-447661-unsplash-585x390.jpg	(from https://baloo.az-theme.net/)
04:53:30	53083/53083	---M--	200	added ('OK')	image/jpeg	date:Fri,%2024%20May%202019%2008:17:19%20GMT	https://baloo.az-theme.net/wp-content/uploads/2019/05/jannis-brandt-256862-unsplash1-585x390.jpg	/home/happyperson/websites/ballo_blog/baloo.az-theme.net/wp-content/uploads/2019/05/jannis-brandt-256862-unsplash1-585x390.jpg	(from https://baloo.az-theme.net/)
