date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
19:10:42	53613/53613	---MCZ	200	added ('OK')	text/html	date:Wed,%2015%20Apr%202020%2011:25:06%20GMT	https://lmpixels.com/demo/breezycv/dark/3/index.html	/home/happyperson/websites/breezy-portfolio/lmpixels.com/demo/breezycv/dark/3/index.html	(from )
19:10:43	214/214	---MC-	302	error ('Found')	text/html	date:Tue,%2016%20Jun%202020%2012:10:42%20GMT	https://lmpixels.com/robots.txt		(from )
19:10:43	1150/1150	---MCZ	200	added ('OK')	image/x-icon	etag:W/%225e733e7e-47e%22	https://lmpixels.com/demo/breezycv/dark/3/favicon.ico	/home/happyperson/websites/breezy-portfolio/lmpixels.com/demo/breezycv/dark/3/favicon.ico	(from https://lmpixels.com/demo/breezycv/dark/3/index.html)
19:10:44	585/585	---MCZ	200	added ('OK')	text/css	etag:W/%225e4f9df0-4b3%22	https://lmpixels.com/demo/breezycv/dark/3/css/reset.css	/home/happyperson/websites/breezy-portfolio/lmpixels.com/demo/breezycv/dark/3/css/reset.css	(from https://lmpixels.com/demo/breezycv/dark/3/index.html)
19:10:46	28977/28977	---MCZ	200	added ('OK')	text/css	etag:W/%225b5690ea-7131%22	https://lmpixels.com/demo/breezycv/dark/3/css/bootstrap-grid.min.css	/home/happyperson/websites/breezy-portfolio/lmpixels.com/demo/breezycv/dark/3/css/bootstrap-grid.min.css	(from https://lmpixels.com/demo/breezycv/dark/3/index.html)
19:10:47	37742/37742	---MCZ	200	added ('OK')	text/css	etag:W/%225e4b9a18-a7e5%22	https://lmpixels.com/demo/breezycv/dark/3/css/animations.css	/home/happyperson/websites/breezy-portfolio/lmpixels.com/demo/breezycv/dark/3/css/animations.css	(from https://lmpixels.com/demo/breezycv/dark/3/index.html)
19:10:47	4320/4320	---MCZ	200	added ('OK')	text/css	etag:W/%225e46d326-113b%22	https://lmpixels.com/demo/breezycv/dark/3/css/perfect-scrollbar.css	/home/happyperson/websites/breezy-portfolio/lmpixels.com/demo/breezycv/dark/3/css/perfect-scrollbar.css	(from https://lmpixels.com/demo/breezycv/dark/3/index.html)
19:10:48	2912/2912	---MCZ	200	added ('OK')	text/css	etag:W/%22580fd9b6-1010%22	https://lmpixels.com/demo/breezycv/dark/3/css/owl.carousel.css	/home/happyperson/websites/breezy-portfolio/lmpixels.com/demo/breezycv/dark/3/css/owl.carousel.css	(from https://lmpixels.com/demo/breezycv/dark/3/index.html)
19:10:49	5810/5810	---MCZ	200	added ('OK')	text/css	etag:W/%2258aacbc8-1e66%22	https://lmpixels.com/demo/breezycv/dark/3/css/magnific-popup.css	/home/happyperson/websites/breezy-portfolio/lmpixels.com/demo/breezycv/dark/3/css/magnific-popup.css	(from https://lmpixels.com/demo/breezycv/dark/3/index.html)
19:10:51	43447/43447	---MCZ	200	added ('OK')	text/css	etag:W/%225e982f3c-e827%22	https://lmpixels.com/demo/breezycv/dark/3/css/main.css	/home/happyperson/websites/breezy-portfolio/lmpixels.com/demo/breezycv/dark/3/css/main.css	(from https://lmpixels.com/demo/breezycv/dark/3/index.html)
