date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:58:33	194/194	---M--	301	error ('Moved%20Permanently')	text/html	date:Tue,%2016%20Jun%202020%2011:58:32%20GMT	http://athemeart.com/html-demo/cvr/html/index-particle.html	/home/happyperson/websites/cvr-cv-resume/athemeart.com/html-demo/cvr/html/index-particle.0.delayed	(from )
18:58:34	35218/35218	---MCZ	200	added ('OK')	text/html	etag:W/%225ca5b401-8992%22	https://athemeart.com/html-demo/cvr/html/index-particle.html	/home/happyperson/websites/cvr-cv-resume/athemeart.com/html-demo/cvr/html/index-particle.html	(from )
18:58:36	133/133	---MCZ	200	added ('OK')	text/plain	etag:W/%225e6399b2-c9%22	https://athemeart.com/robots.txt		(from )
18:58:36	2180/2180	---M--	200	added ('OK')	image/png	etag:%225ca465bb-884%22	https://athemeart.com/html-demo/cvr/html/images/fav-icon/icon.png	/home/happyperson/websites/cvr-cv-resume/athemeart.com/html-demo/cvr/html/images/fav-icon/icon.png	(from https://athemeart.com/html-demo/cvr/html/index-particle.html)
18:58:38	32281/32281	---MCZ	200	added ('OK')	text/css	etag:W/%225ca5c179-7e19%22	https://athemeart.com/html-demo/cvr/html/css/style.css	/home/happyperson/websites/cvr-cv-resume/athemeart.com/html-demo/cvr/html/css/style.css	(from https://athemeart.com/html-demo/cvr/html/index-particle.html)
18:58:39	1293/1293	---MCZ	200	added ('OK')	text/css	etag:W/%225ca4f04c-50d%22	https://athemeart.com/html-demo/cvr/html/css/color1.css	/home/happyperson/websites/cvr-cv-resume/athemeart.com/html-demo/cvr/html/css/color1.css	(from https://athemeart.com/html-demo/cvr/html/index-particle.html)
18:58:40	3513/3513	---MCZ	200	added ('OK')	text/css	etag:W/%225ca5beef-db9%22	https://athemeart.com/html-demo/cvr/html/css/responsive.css	/home/happyperson/websites/cvr-cv-resume/athemeart.com/html-demo/cvr/html/css/responsive.css	(from https://athemeart.com/html-demo/cvr/html/index-particle.html)
18:58:41	35079/35079	---MCZ	200	added ('OK')	text/html	etag:W/%225ca5b05e-8907%22	https://athemeart.com/html-demo/cvr/html/index.html	/home/happyperson/websites/cvr-cv-resume/athemeart.com/html-demo/cvr/html/index.html	(from https://athemeart.com/html-demo/cvr/html/index-particle.html)
18:58:42	827/827	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%225ca507d9-33b%22	https://athemeart.com/html-demo/cvr/html/images/logo/logo1.svg	/home/happyperson/websites/cvr-cv-resume/athemeart.com/html-demo/cvr/html/images/logo/logo1.svg	(from https://athemeart.com/html-demo/cvr/html/index-particle.html)
18:58:43	26524/26524	---M--	200	added ('OK')	image/jpeg	etag:%225ca4627c-679c%22	https://athemeart.com/html-demo/cvr/html/images/home/1.jpg	/home/happyperson/websites/cvr-cv-resume/athemeart.com/html-demo/cvr/html/images/home/1.jpg	(from https://athemeart.com/html-demo/cvr/html/index-particle.html)
18:58:44	36146/36146	---M--	200	added ('OK')	image/jpeg	etag:%225ca47c1c-8d32%22	https://athemeart.com/html-demo/cvr/html/images/home/me.jpg	/home/happyperson/websites/cvr-cv-resume/athemeart.com/html-demo/cvr/html/images/home/me.jpg	(from https://athemeart.com/html-demo/cvr/html/index-particle.html)
18:58:44	784572/784572	---M--	200	added ('OK')	image/jpeg	etag:%225ca300d7-bf8bc%22	https://athemeart.com/html-demo/cvr/html/images/home/bg2.jpg	/home/happyperson/websites/cvr-cv-resume/athemeart.com/html-demo/cvr/html/images/home/bg2.jpg	(from https://athemeart.com/html-demo/cvr/html/index-particle.html)
18:58:45	5997/5997	---M--	200	added ('OK')	image/png	etag:%225c72c910-176d%22	https://athemeart.com/html-demo/cvr/html/images/logo/1.png	/home/happyperson/websites/cvr-cv-resume/athemeart.com/html-demo/cvr/html/images/logo/1.png	(from https://athemeart.com/html-demo/cvr/html/index-particle.html)
18:58:46	5478/5478	---M--	200	added ('OK')	image/png	etag:%225c72c935-1566%22	https://athemeart.com/html-demo/cvr/html/images/logo/2.png	/home/happyperson/websites/cvr-cv-resume/athemeart.com/html-demo/cvr/html/images/logo/2.png	(from https://athemeart.com/html-demo/cvr/html/index-particle.html)
18:58:47	7099/7099	---M--	200	added ('OK')	image/png	etag:%225c13fdb4-1bbb%22	https://athemeart.com/html-demo/cvr/html/images/logo/3.png	/home/happyperson/websites/cvr-cv-resume/athemeart.com/html-demo/cvr/html/images/logo/3.png	(from https://athemeart.com/html-demo/cvr/html/index-particle.html)
18:58:48	6800/6800	---M--	200	added ('OK')	image/png	etag:%225c13fdc7-1a90%22	https://athemeart.com/html-demo/cvr/html/images/logo/4.png	/home/happyperson/websites/cvr-cv-resume/athemeart.com/html-demo/cvr/html/images/logo/4.png	(from https://athemeart.com/html-demo/cvr/html/index-particle.html)
