HTTrack3.49-2 launched on Tue, 16 Jun 2020 19:04:00 at http://lmpixels.com/demo/leven-html-new/dark/resume.html +*.png +*.gif +*.jpg +*.jpeg +*.css +*.js -ad.doubleclick.net/*
(webhttrack -q -%i -w http://lmpixels.com/demo/leven-html-new/dark/resume.html -O "/home/happyperson/websites/leven-portfolio" -n -%P -N0 -s2 -p7 -D -a -K0 -c4 -%k -A25000 -F "Mozilla/4.5 (compatible; HTTrack 3.0x; Windows 98)" -%F "<!-- Mirrored from %s%s by HTTrack Website Copier/3.x [XR&CO'2014], %s -->" +*.png +*.gif +*.jpg +*.jpeg +*.css +*.js -ad.doubleclick.net/* -%s -%u )

Information, Warnings and Errors reported for this mirror:
note:	the hts-log.txt file, and hts-cache folder, may contain sensitive information,
	such as username/password authentication for websites mirrored in this project
	do not share these files/folders if you want these information to remain private

19:04:03	Warning: 	Found for https://lmpixels.com/robots.txt
19:04:03	Warning: 	File has moved from https://lmpixels.com/robots.txt to https://lmpixels.com/404.shtml
19:05:11	Warning: 	File seems complete (same size), but there was a cache read error (4294967295): https://lmpixels.com/demo/leven-html-new/dark/js/modernizr.custom.js
19:05:11	Warning: 	File seems complete (same size), but there was a cache read error (4294967295): https://www.google.com/recaptcha/api.js
19:05:11	Warning: 	File seems complete (same size), but there was a cache read error (4294967295): https://lmpixels.com/demo/leven-html-new/dark/js/jquery-2.1.3.min.js
19:05:12	Warning: 	File seems complete (same size), but there was a cache read error (4294967295): https://lmpixels.com/demo/leven-html-new/dark/js/bootstrap.min.js
19:05:13	Warning: 	File seems complete (same size), but there was a cache read error (4294967295): https://lmpixels.com/demo/leven-html-new/dark/js/jquery.shuffle.min.js
19:05:14	Warning: 	File seems complete (same size), but there was a cache read error (4294967295): https://lmpixels.com/demo/leven-html-new/dark/js/masonry.pkgd.min.js
19:05:16	Warning: 	File seems complete (same size), but there was a cache read error (4294967295): https://lmpixels.com/demo/leven-html-new/dark/js/jquery.magnific-popup.min.js
19:05:16	Warning: 	File seems complete (same size), but there was a cache read error (4294967295): https://lmpixels.com/demo/leven-html-new/dark/js/owl.carousel.min.js
19:05:16	Warning: 	File seems complete (same size), but there was a cache read error (4294967295): https://lmpixels.com/demo/leven-html-new/dark/js/jquery.googlemap.js
19:05:25	Warning: 	HTML file (25908 bytes) retransferred due to lack of cache: https://lmpixels.com/demo/leven-html-new/dark/index.html
19:05:27	Warning: 	Retry after error -4 (Interrupted transfer) at link https://lmpixels.com/demo/leven-html-new/dark/index.html (from https://lmpixels.com/demo/leven-html-new/dark/resume.html)
19:05:27	Warning: 	HTML file (25908 bytes) retransferred due to lack of cache: https://lmpixels.com/demo/leven-html-new/dark/index.html
19:05:27	Warning: 	HTML file (4560 bytes) retransferred due to lack of cache: https://lmpixels.com/demo/leven-html-new/dark/portfolio-project-2.html
19:05:28	Warning: 	Retry after error -4 (Interrupted transfer) at link https://lmpixels.com/demo/leven-html-new/dark/portfolio-project-2.html (from https://lmpixels.com/demo/leven-html-new/dark/portfolio.html)
19:05:28	Warning: 	HTML file (4560 bytes) retransferred due to lack of cache: https://lmpixels.com/demo/leven-html-new/dark/portfolio-project-2.html
19:05:28	Warning: 	HTML file (4560 bytes) retransferred due to lack of cache: https://lmpixels.com/demo/leven-html-new/dark/portfolio-project-1.html
19:05:29	Warning: 	Retry after error -4 (Interrupted transfer) at link https://lmpixels.com/demo/leven-html-new/dark/portfolio-project-1.html (from https://lmpixels.com/demo/leven-html-new/dark/portfolio.html)
19:05:29	Warning: 	HTML file (13594 bytes) retransferred due to lack of cache: https://lmpixels.com/demo/leven-html-new/dark/blog-post-1.html
19:05:29	Warning: 	HTML file (4560 bytes) retransferred due to lack of cache: https://lmpixels.com/demo/leven-html-new/dark/portfolio-project-1.html
19:05:30	Warning: 	Retry after error -4 (Interrupted transfer) at link https://lmpixels.com/demo/leven-html-new/dark/blog-post-1.html (from https://lmpixels.com/demo/leven-html-new/dark/blog.html)
19:05:30	Warning: 	HTML file (13594 bytes) retransferred due to lack of cache: https://lmpixels.com/demo/leven-html-new/dark/blog-post-1.html
19:05:57	Warning: 	Retry after error -4 (Interrupted transfer) at link https://lmpixels.com/demo/leven-html-new/dark/index.html (from https://lmpixels.com/demo/leven-html-new/dark/resume.html)
19:05:57	Warning: 	HTML file (25908 bytes) retransferred due to lack of cache: https://lmpixels.com/demo/leven-html-new/dark/index.html
19:05:57	Warning: 	Retry after error -4 (Interrupted transfer) at link https://lmpixels.com/demo/leven-html-new/dark/portfolio-project-2.html (from https://lmpixels.com/demo/leven-html-new/dark/portfolio.html)
19:05:57	Warning: 	HTML file (4560 bytes) retransferred due to lack of cache: https://lmpixels.com/demo/leven-html-new/dark/portfolio-project-2.html
19:05:57	Warning: 	Retry after error -4 (Interrupted transfer) at link https://lmpixels.com/demo/leven-html-new/dark/portfolio-project-1.html (from https://lmpixels.com/demo/leven-html-new/dark/portfolio.html)
19:05:57	Warning: 	HTML file (4560 bytes) retransferred due to lack of cache: https://lmpixels.com/demo/leven-html-new/dark/portfolio-project-1.html
19:05:58	Warning: 	Retry after error -4 (Interrupted transfer) at link https://lmpixels.com/demo/leven-html-new/dark/blog-post-1.html (from https://lmpixels.com/demo/leven-html-new/dark/blog.html)
19:05:58	Warning: 	HTML file (13594 bytes) retransferred due to lack of cache: https://lmpixels.com/demo/leven-html-new/dark/blog-post-1.html
19:05:59	Error: 	"Interrupted transfer" (-4) after 2 retries at link https://lmpixels.com/demo/leven-html-new/dark/index.html (from https://lmpixels.com/demo/leven-html-new/dark/resume.html)
19:05:59	Error: 	"Interrupted transfer" (-4) after 2 retries at link https://lmpixels.com/demo/leven-html-new/dark/portfolio-project-2.html (from https://lmpixels.com/demo/leven-html-new/dark/portfolio.html)
19:05:59	Error: 	"Interrupted transfer" (-4) after 2 retries at link https://lmpixels.com/demo/leven-html-new/dark/portfolio-project-1.html (from https://lmpixels.com/demo/leven-html-new/dark/portfolio.html)
19:05:59	Error: 	"Interrupted transfer" (-4) after 2 retries at link https://lmpixels.com/demo/leven-html-new/dark/blog-post-1.html (from https://lmpixels.com/demo/leven-html-new/dark/blog.html)

HTTrack Website Copier/3.49-2 mirror complete in 1 minutes 59 seconds : 105 links scanned, 132 files written (9270865 bytes overall) [4701798 bytes received at 39510 bytes/sec], 3978501 bytes transferred using HTTP compression in 56 files, ratio 38%, 3.4 requests per connection
(4 errors, 31 warnings, 0 messages)
